Name,TB_WNM,TB_WNM_std,velocity_TB,velocity_TB_std,fwhm,fwhm_std,T_k_max,NHI_w,NHI_w_std,F
J055220-702147,4.23,0.13,221.86,0.48,31.01,1.14,21022,2.54,0.12,0.5
J055220-702147,8.25,0.39,268.81,0.23,15.37,0.70,5166,2.46,0.16,1.0
J055220-702147,9.08,0.12,294.74,0.57,37.99,1.23,31550,6.70,0.24,1.0
J055227-694801,2.13,0.19,230.17,2.92,42.17,6.72,38876,1.74,0.32,1.0
J055227-694801,14.65,0.19,286.30,0.45,45.01,1.05,44296,12.80,0.34,1.0
J055613-692332,16.60,0.45,299.06,0.11,11.21,0.33,2748,3.61,0.14,0.0
J055613-692332,1.10,0.15,227.83,2.08,31.73,4.96,22018,0.68,0.14,1.0
J055613-692332,6.53,0.31,303.96,0.53,44.94,1.58,44159,5.70,0.33,1.0
J055636-720648,1.64,0.08,254.91,1.96,38.77,4.00,32868,1.23,0.14,0.0
J055636-720648,4.89,0.16,287.29,0.35,21.43,0.73,10040,2.03,0.09,1.0
J055653-682229,12.58,0.74,283.14,0.14,11.37,0.55,2826,2.78,0.21,0.0
J055653-682229,10.87,0.78,282.27,0.18,26.78,0.79,15676,5.65,0.44,0.0
