Name,TB_WNM,TB_WNM_std,velocity_TB,velocity_TB_std,fwhm,fwhm_std,T_k_max,NHI_w,NHI_w_std,F
J050227-655711,18.29,0.86,278.29,0.10,30.02,0.50,19712,10.66,0.53,0.0
J050227-655711,30.35,0.80,278.56,0.06,14.02,0.27,4299,8.26,0.27,1.0
J050258-675802,15.63,0.28,249.94,0.14,25.20,0.44,13885,7.65,0.19,0.0
J050258-675802,7.26,0.25,274.28,0.16,9.43,0.40,1946,1.33,0.07,0.0
J050411-670107,34.94,0.15,272.18,0.05,24.58,0.14,13208,16.66,0.12,1.0
J050411-670107,4.49,0.14,244.55,0.31,16.29,0.72,5800,1.42,0.08,1.0
J050413-700456,14.70,0.45,234.81,0.33,23.31,0.60,11881,6.65,0.26,1.0
J050438-705441,12.57,0.37,237.40,0.22,17.02,0.39,6333,4.15,0.15,0.0
J050501-664516,31.82,0.70,282.30,0.07,10.31,0.19,2325,6.37,0.18,0.5
J050501-664516,4.20,0.27,257.35,1.78,36.91,2.09,29788,3.01,0.26,0.0
J050527-705358,21.42,0.46,234.67,0.10,19.16,0.35,8023,7.96,0.22,0.5
J050527-705358,2.70,0.45,225.92,1.86,42.49,2.74,39474,2.22,0.40,1.0
J050529-665556,22.22,0.67,279.07,0.13,16.77,0.45,6151,7.23,0.29,0.5
J050529-665556,12.85,0.58,271.75,0.39,35.38,0.54,27366,8.82,0.42,0.0
J050531-655517,23.83,0.38,282.80,0.06,10.82,0.19,2562,5.00,0.12,0.0
J050531-655517,7.21,0.31,285.10,0.45,36.17,1.15,28607,5.06,0.27,0.0
J050531-655517,2.45,0.15,250.21,0.75,19.74,1.67,8517,0.94,0.10,0.0
J050536-700512,10.08,0.63,225.44,0.31,29.34,0.84,18826,5.74,0.40,0.0
J050536-700512,13.67,0.85,228.22,0.39,10.65,0.86,2480,2.83,0.29,0.0
J050709-690101,10.95,0.22,258.87,0.38,46.01,0.81,46289,9.77,0.26,0.0
J050710-714405,10.20,0.99,225.40,0.27,35.89,1.23,28168,7.10,0.73,0.5
J050710-714405,12.77,0.88,226.73,0.26,16.28,1.06,5794,4.03,0.38,0.0
J050831-670620,6.21,0.08,248.31,0.38,32.09,0.86,22516,3.87,0.12,1.0
J050831-670620,17.90,0.31,285.33,0.16,25.90,0.37,14667,9.00,0.20,0.0
J050858-684336,28.27,0.32,246.80,0.19,28.00,0.49,17142,15.36,0.32,1.0
J050953-685302,12.39,0.65,267.62,1.13,17.67,1.74,6824,4.25,0.47,0.0
J050953-685302,44.03,1.80,246.97,0.43,16.49,1.03,5945,14.09,1.05,0.0
J051129-680618,15.17,0.35,275.89,0.73,48.30,0.97,51016,14.22,0.43,1.0
J051129-680618,10.17,0.62,294.04,0.42,16.84,1.17,6203,3.32,0.31,0.0
J051129-680618,9.09,0.40,209.33,0.34,21.01,0.88,9657,3.71,0.23,1.0
J051222-673220,25.19,2.87,289.40,0.50,9.80,0.67,2099,4.79,0.64,0.0
J051222-673220,11.48,0.13,268.74,0.23,17.21,0.44,6477,3.84,0.11,0.5
J051222-673220,17.38,5.17,295.85,0.91,8.97,0.99,1758,3.02,0.96,0.0
J051222-673220,3.83,0.08,229.09,0.30,28.98,0.76,18367,2.15,0.07,0.0
J051317-692224,12.20,0.44,235.64,0.46,43.22,1.24,40845,10.24,0.47,0.0
J051321-692240,16.32,0.80,234.96,0.37,31.19,0.95,21275,9.88,0.57,0.0
J051340-670640,11.17,0.21,270.13,0.62,44.59,0.88,43468,9.67,0.27,0.0
J051340-670640,38.16,0.77,289.29,0.07,14.85,0.26,4823,11.00,0.30,1.0
J051418-673528,42.37,1.05,296.00,0.26,13.17,0.49,3795,10.83,0.48,0.0
J051418-673528,19.19,0.60,283.54,0.60,33.35,0.67,24326,12.42,0.46,0.0
J051537-672127,16.37,0.44,285.11,0.26,34.49,0.55,26005,10.96,0.34,1.0
J051641-714905,11.57,0.33,228.38,0.18,28.82,0.52,18155,6.47,0.22,0.0
J051716-702357,8.48,0.27,234.26,0.51,48.62,0.94,51691,8.00,0.30,0.5
J051716-702357,10.22,0.32,247.63,0.19,13.58,0.59,4031,2.69,0.14,1.0
J051819-661717,5.82,0.09,250.03,0.20,21.88,0.48,10464,2.47,0.07,0.0
J051819-661717,6.38,0.51,290.93,0.30,32.05,1.22,22465,3.97,0.35,0.0
J051819-661717,18.25,0.46,289.37,0.08,13.15,0.32,3779,4.65,0.16,1.0
J051832-693521,7.93,0.75,248.44,1.45,63.61,3.37,88468,9.79,1.06,1.0
J052000-711502,25.15,0.43,228.03,0.06,11.30,0.19,2792,5.51,0.13,1.0
J052000-711502,6.79,0.37,224.43,0.35,32.96,0.97,23753,4.34,0.27,1.0
J052007-680223,27.07,1.11,284.79,0.67,26.59,0.84,15464,13.97,0.72,0.5
J052007-680223,10.71,0.43,254.05,1.85,39.02,2.64,33294,8.11,0.64,0.0
J052009-665023,6.22,0.25,291.40,0.41,54.08,1.47,63949,6.53,0.32,1.0
J052009-665023,32.12,0.43,292.25,0.05,13.94,0.19,4248,8.69,0.17,1.0
J052105-695939,10.44,0.25,246.09,0.20,46.82,0.67,47938,9.49,0.26,0.0
J052105-695939,29.40,0.91,241.95,0.09,10.28,0.25,2311,5.87,0.23,0.5
J052127-670722,14.96,0.77,294.28,0.23,18.50,0.89,7486,5.37,0.38,0.5
J052127-670722,11.07,0.57,284.78,0.55,37.16,0.57,30199,7.98,0.43,1.0
J052218-672737,9.61,0.40,280.08,0.49,39.68,0.97,34433,7.40,0.36,1.0
J052218-672737,18.14,0.50,287.51,0.12,12.57,0.39,3456,4.43,0.18,0.0
J052229-703757,9.31,0.13,236.03,0.21,34.97,0.51,26746,6.32,0.13,0.0
J052258-684428,6.04,2.91,267.29,3.12,24.87,4.19,13527,2.91,1.49,0.5
J052258-684428,10.77,2.11,239.69,0.55,15.33,1.42,5136,3.20,0.69,0.5
J052258-684428,7.42,2.48,239.39,7.57,41.78,5.78,38169,6.01,2.18,0.0
J052319-675535,43.34,0.32,283.68,0.08,22.88,0.17,11448,19.24,0.20,0.5
J052319-675535,11.97,0.36,223.17,0.12,9.57,0.36,2005,2.22,0.11,0.0
J052319-675535,12.84,0.15,244.20,0.44,42.74,1.06,39940,10.65,0.29,0.0
J052340-705019,2.26,0.13,243.15,1.79,55.75,2.78,67955,2.44,0.19,0.0
J052340-705019,18.60,0.27,224.75,0.08,15.08,0.25,4973,5.44,0.12,0.0
J052341-705122,15.12,0.51,224.37,0.13,17.67,0.52,6824,5.18,0.23,0.0
J052341-705122,2.45,0.15,246.96,3.29,38.54,5.25,32486,1.83,0.27,0.0
J052350-704214,8.64,0.46,221.96,0.77,24.63,1.23,13263,4.13,0.30,1.0
J052415-715800,14.10,0.47,217.38,0.32,22.80,0.68,11363,6.24,0.28,1.0
J052415-715800,5.16,0.16,249.58,0.76,27.91,1.72,17029,2.80,0.19,0.0
J052456-693855,26.77,1.51,260.29,0.19,5.95,0.43,775,3.09,0.28,0.0
J052456-693855,9.20,0.88,262.28,1.19,36.81,2.11,29633,6.57,0.73,0.0
J052502-693902,31.83,0.54,262.97,0.12,23.13,0.30,11701,14.29,0.31,0.0
J052505-664051,20.07,0.38,280.37,0.22,26.60,0.49,15467,10.36,0.27,0.0
J052510-693811,16.35,0.42,264.23,0.28,24.37,0.65,12984,7.73,0.29,1.0
J052510-693811,1.79,0.27,247.42,3.92,80.16,7.80,140504,2.79,0.50,0.0
J052537-661941,14.58,1.22,296.58,0.31,39.47,1.26,34061,11.16,1.00,1.0
J052537-661941,26.28,1.56,300.26,0.49,13.27,0.87,3850,6.77,0.60,0.0
J052554-662751,21.41,1.18,285.93,0.23,13.78,0.94,4153,5.73,0.50,1.0
J052554-662751,14.39,1.13,285.84,0.18,32.26,0.87,22759,9.01,0.75,0.0
J052558-660442,27.09,1.24,291.75,0.22,32.53,0.66,23134,17.10,0.86,1.0
J052559-660518,28.04,0.89,291.37,0.15,33.23,0.52,24151,18.08,0.64,1.0
J052604-660502,33.78,1.18,285.28,0.10,8.94,0.27,1748,5.86,0.27,1.0
J052604-660502,30.75,1.40,291.46,0.13,31.51,0.50,21706,18.80,0.91,0.0
J052624-681505,30.35,0.56,259.81,0.16,25.10,0.35,13780,14.79,0.34,0.5
J052624-681505,3.13,0.31,245.55,2.31,83.04,5.42,150764,5.04,0.60,1.0
J052624-681505,11.97,1.29,254.50,0.60,7.27,0.98,1155,1.69,0.29,1.0
J052626-655623,9.46,0.46,287.96,0.58,30.88,0.96,20851,5.67,0.33,0.0
J052627-655607,5.09,0.82,284.96,2.18,34.70,1.68,26332,3.43,0.57,0.5
J052627-655607,38.42,1.03,295.53,0.12,19.76,0.36,8540,14.73,0.48,0.0
J052631-654906,1.65,0.24,280.97,2.87,58.98,5.09,76066,1.89,0.32,1.0
J052631-654906,36.80,0.49,293.94,0.15,18.58,0.24,7551,13.27,0.25,1.0
J052635-674909,3.92,0.17,239.34,1.32,29.31,2.41,18786,2.23,0.21,0.0
J052635-674909,22.94,3.66,277.44,0.71,28.07,1.47,17228,12.49,2.10,0.5
J052746-675925,6.51,0.44,278.26,1.20,45.45,1.47,45164,5.74,0.43,0.5
J052746-675925,8.98,0.50,260.77,0.28,17.33,0.96,6566,3.02,0.24,0.0
J053209-684307,27.84,0.45,250.86,0.08,22.02,0.23,10605,11.90,0.23,0.0
J053209-684307,2.83,0.17,309.63,0.61,20.41,1.44,9109,1.12,0.10,0.5
J053250-682012,11.65,0.45,273.24,0.41,47.06,0.87,48428,10.64,0.46,0.0
J053250-682012,33.91,0.61,256.72,0.20,11.46,0.33,2872,7.54,0.26,1.0
