Name,RA_deg,Dec_deg,NHI_c,NHI_c_std,NHI_w,NHI_w_std,NHI_u,NHI_u_std,f_c,f_c_std,Tsky,Note,LMC_x
J050413-700456,76.06,-70.08,6.75,1.15,6.65,0.26,0.00,0.00,0.50,0.04,3.49,knot on gas filament?,?
J050438-705441,76.16,-70.91,5.53,0.96,4.15,0.15,0.00,0.00,0.57,0.04,3.09,HD33540 (O/B2:e),LMC
J050501-664516,76.26,-66.75,9.79,0.93,9.38,0.32,0.00,0.00,0.51,0.03,5.15,?,(x)
J050527-705358,76.37,-70.90,1.52,0.63,10.18,0.46,0.00,0.00,0.13,0.05,3.26,? (faint brown Spitzer),(x)
J050529-665556,76.37,-66.93,6.61,1.75,16.06,0.51,0.00,0.00,0.29,0.06,4.25,likely radio galaxy,(x)
J050531-655517,76.38,-65.92,2.67,1.13,11.01,0.31,0.00,0.00,0.20,0.07,2.73,"~20"" from anonymous inclined disk galaxy",x
J050536-700512,76.40,-70.09,1.76,0.30,8.56,0.49,0.00,0.00,0.17,0.03,4.00,?,(x)
J050709-690101,76.79,-69.02,7.58,1.04,9.77,0.26,0.00,0.00,0.44,0.03,3.57,?,(x)
J050710-714405,76.79,-71.73,1.15,0.37,11.13,0.82,0.00,0.00,0.09,0.03,3.86,?,(x)
J050831-670620,77.13,-67.11,4.17,0.83,12.86,0.23,0.00,0.00,0.24,0.04,4.11,?,(x)
J050858-684336,77.24,-68.73,14.07,3.85,15.36,0.32,0.00,0.00,0.48,0.07,9.32,in Cal 13 (SNR),?
J050953-685302,77.47,-68.88,16.84,2.55,18.34,1.15,0.00,0.00,0.48,0.04,5.08,YSO (in N105),LMC
J051129-680618,77.87,-68.11,1.20,0.24,21.25,0.58,0.00,0.00,0.05,0.01,2.73,likely radio galaxy (X-ray),x
J051222-673220,78.09,-67.54,8.07,5.49,13.80,1.16,0.00,0.00,0.37,0.16,3.47,known BL Lac (z=2.557),x
J051317-692224,78.32,-69.37,25.53,3.79,10.24,0.47,0.00,0.00,0.71,0.03,3.28, YSO in N113,LMC
J051321-692240,78.34,-69.38,17.68,2.66,9.88,0.57,0.00,0.00,0.64,0.04,3.28,YSO / HII (N113A),LMC
J051340-670640,78.42,-67.11,9.22,3.20,20.67,0.40,0.00,0.00,0.31,0.07,3.55,?,(x)
J051418-673528,78.57,-67.59,2.39,0.93,23.25,0.67,0.00,0.00,0.09,0.03,4.97,?,(x)
J051537-672127,78.91,-67.36,9.90,0.98,10.96,0.34,0.00,0.00,0.47,0.03,21.56,"known radio galaxy (green Spitzer, X-ray)",x
J051641-714905,79.17,-71.82,5.88,0.61,6.47,0.22,0.00,0.00,0.48,0.03,7.45,radio galaxy,x
J051716-702357,79.32,-70.40,1.52,0.26,10.70,0.33,0.00,0.00,0.12,0.02,4.36,"? (greenish Spitzer, X-ray)",(x)
J051819-661717,79.58,-66.29,2.47,0.70,11.10,0.39,0.00,0.00,0.18,0.04,2.73,? (dim green Spitzer),(x)
J051832-693521,79.64,-69.59,1.27,0.19,9.79,1.06,11.51,1.75,0.06,0.01,8.18,"? (blue Spitzer, bright X-ray)",(x)
J052000-711502,80.00,-71.25,5.91,2.34,9.86,0.30,0.00,0.00,0.37,0.09,3.19,? (dim green Spitzer),(x)
