Name,tau,tau_std,velocity_tau,velocity_tau_std,fwhm,fwhm_std,mean_Ts,mean_Ts_std,T_k_max,NHI_c,NHI_c_std,Order,v_shift
J043855-672153,0.084,0.004,246.97,0.12,3.70,0.29,23,4,300,0.14,0.03,1,3.57
J043855-672153,0.108,0.004,241.01,0.11,4.87,0.28,31,4,519,0.32,0.04,0,4.00
J044047-695217,0.053,0.008,239.54,0.32,4.38,0.75,84,3,420,0.38,0.09,0,2.70
J044056-662423,0.313,0.004,231.12,0.03,3.94,0.06,3,0,340,0.07,0.01,0,-1.50
J044415-684211,0.688,0.017,241.33,0.08,6.59,0.19,56,9,950,4.97,0.86,0,0.88
J044451-674636,0.229,0.020,256.02,0.11,2.75,0.27,34,9,165,0.41,0.12,0,0.11
J044710-675049,0.913,0.044,261.85,0.18,7.68,0.43,28,4,1291,3.79,0.60,0,2.61
J044746-704843,0.228,0.024,245.48,0.23,4.43,0.55,27,4,430,0.52,0.12,0,2.39
J044809-703144,0.291,0.047,232.35,0.20,2.50,0.47,9,2,136,0.12,0.04,0,-1.12
J044902-705155,0.106,0.014,246.35,0.30,4.54,0.71,14,6,451,0.13,0.06,1,-4.00
J044902-705155,0.116,0.016,234.58,0.24,3.53,0.57,56,7,273,0.44,0.11,0,0.23
J044926-691203,0.873,0.022,236.86,0.14,11.59,0.34,76,27,2935,14.94,5.27,0,2.50
J044928-692630,0.911,0.031,242.84,0.16,9.56,0.37,82,15,2000,13.87,2.68,0,0.81
J044948-694013,0.757,0.035,243.05,0.09,4.05,0.22,23,9,359,1.34,0.54,0,-3.17
J044953-680436,0.942,0.049,253.75,0.17,6.84,0.41,48,13,1023,5.94,1.74,0,1.00
J045113-693133,0.203,0.026,218.69,0.74,11.63,1.85,56,3,2958,2.55,0.53,0,2.90
J045113-693133,0.294,0.036,233.46,0.39,5.94,0.95,27,8,772,0.92,0.32,1,-3.13
J045113-693133,0.474,0.026,247.55,0.32,11.39,0.81,55,2,2839,5.78,0.57,2,0.88
J045114-693123,0.579,0.050,249.22,0.15,3.61,0.39,34,8,285,1.40,0.38,1,1.32
J045114-693123,0.216,0.024,244.98,1.12,24.82,2.56,133,1,13471,13.76,2.11,0,-2.97
J045114-693152,0.590,0.029,246.51,0.09,3.85,0.22,24,7,324,1.05,0.34,0,1.86
J045114-693152,0.161,0.025,218.56,0.40,5.23,0.93,41,3,599,0.67,0.16,1,0.29
J045152-692332,0.872,0.034,231.63,0.22,10.81,0.34,57,3,2554,10.36,0.78,1,0.57
J045152-692332,0.177,0.015,219.33,1.66,14.99,2.74,65,3,4913,3.33,0.69,0,4.00
J045209-665525,1.644,0.022,273.10,0.05,5.55,0.11,43,15,673,7.66,2.66,1,-0.42
J045209-665525,0.127,0.017,263.74,0.78,8.79,1.98,158,18,1688,3.42,0.99,0,3.99
J045220-682306,0.630,0.023,244.10,0.05,2.98,0.13,9,4,195,0.33,0.14,2,-3.99
J045220-682306,1.610,0.026,261.78,0.02,3.09,0.06,26,13,209,2.47,1.21,0,1.15
J045220-682306,0.158,0.018,259.84,0.55,15.46,1.46,143,62,5229,6.77,3.12,1,-4.00
J045332-704027,0.807,0.049,257.32,0.09,3.16,0.22,16,5,218,0.78,0.25,0,-2.32
J045344-693729,0.418,0.046,248.84,0.33,6.10,0.78,42,4,814,2.09,0.40,0,0.77
J045354-692131,1.485,0.055,236.55,0.11,5.74,0.25,36,14,719,5.95,2.27,0,-3.34
J045403-691154,0.375,0.141,240.51,2.65,9.08,2.72,48,24,1801,3.14,2.17,0,4.00
J045403-691154,0.605,0.292,245.04,0.30,5.63,0.95,37,14,693,2.46,1.55,1,4.00
J045421-680056,0.392,0.023,260.13,0.23,7.89,0.54,24,10,1361,1.44,0.60,0,-3.98
